"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_AWS_AUG_2012.CR1","34827","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2012-08-10 06:00:00",1594,0.57,46.38,13.69,0.856,6.477,-22.86,0.686
"2012-08-10 06:05:00",1595,0.757,50.31,13.36,1.46,6.51,-21.1,0.686
"2012-08-10 06:10:00",1596,0.921,52.36,10.58,1.365,6.508,-20.04,0.686
"2012-08-10 06:15:00",1597,0.484,21.58,12.29,0.892,6.425,-17.67,0.686
"2012-08-10 06:20:00",1598,0.484,354.3,15.24,0.66,6.309,-16.55,0.686
"2012-08-10 06:25:00",1599,0.354,312.1,19.02,0.64,6.236,-16.48,0.686
"2012-08-10 06:30:00",1600,0.638,290.5,8.25,0.869,6.22,-18.33,0.686
"2012-08-10 06:35:00",1601,0.552,259.6,13.34,0.882,6.288,-20.19,0.686
"2012-08-10 06:40:00",1602,0.3,73.98,6.709,0.84,6.309,-16.73,0.686
"2012-08-10 06:45:00",1603,0.483,69.59,13.08,0.755,6.302,-15.66,0.686
"2012-08-10 06:50:00",1604,0.997,58.14,9.5,1.143,6.269,-17.14,0.686
"2012-08-10 06:55:00",1605,1.002,46.57,10.83,1.232,6.214,-9.74,0.686
"2012-08-10 07:00:00",1606,0.95,40.66,13.42,1.372,6.137,-4.399,0.686
"2012-08-10 07:05:00",1607,0.529,8.83,13.74,1.156,6.147,-2.924,0.686
"2012-08-10 07:10:00",1608,0.43,269,12.77,1.147,6.218,1.653,0.686
"2012-08-10 07:15:00",1609,0.608,302.8,13.15,0.804,6.272,3.865,0.686
"2012-08-10 07:20:00",1610,0.475,339.7,13.98,0.742,6.489,21.03,0.686
"2012-08-10 07:25:00",1611,0.429,0.362,17.45,0.65,6.64,-1.348,0.686
"2012-08-10 07:30:00",1612,0.408,32.7,7.581,0.722,6.646,8.26,0.686
"2012-08-10 07:35:00",1613,0.089,293.8,2.029,0.369,6.783,13.78,0.686
"2012-08-10 07:40:00",1614,0.264,260.5,13.47,0.653,6.805,10.32,0.686
"2012-08-10 07:45:00",1615,0.541,268.1,19.45,0.836,6.741,7.196,0.686
"2012-08-10 07:50:00",1616,0.652,238.6,26.97,1.271,6.691,11.09,0.686
"2012-08-10 07:55:00",1617,0.205,243.4,6.505,0.879,6.668,10.96,0.686
"2012-08-10 08:00:00",1618,0.129,16.57,7.919,0.47,6.724,16.22,0.686
"2012-08-10 08:05:00",1619,0.659,47.96,15.13,0.898,6.745,11.01,0.686
"2012-08-10 08:10:00",1620,0.723,74.87,18.5,1.228,6.71,3.763,0.686
"2012-08-10 08:15:00",1621,0.81,92.3,12.81,1.055,6.679,3.051,0.686
"2012-08-10 08:20:00",1622,0.776,120.8,20.8,0.983,6.662,5.314,0.686
"2012-08-10 08:25:00",1623,0.437,168.3,24.17,0.552,6.662,7.78,0.686
"2012-08-10 08:30:00",1624,0.492,210,9.38,0.823,6.662,6.382,0.686
"2012-08-10 08:35:00",1625,0.261,210.7,9.01,0.552,6.681,8.52,0.686
"2012-08-10 08:40:00",1626,0.618,246.4,20.69,0.875,6.71,8.26,0.686
"2012-08-10 08:45:00",1627,0.67,270.5,11.65,0.941,6.701,3.738,0.686
"2012-08-10 08:50:00",1628,0.774,275.1,14.76,1.071,6.632,0.966,0.686
"2012-08-10 08:55:00",1629,0.883,264.9,17.59,1.169,6.576,7.551,0.686
"2012-08-10 09:00:00",1630,0.838,243.6,10.1,1.176,6.593,11.08,0.686
"2012-08-10 09:05:00",1631,0.741,237.7,8.91,1.114,6.598,13.96,0.686
"2012-08-10 09:10:00",1632,1.07,230.4,12.86,1.496,6.613,17.24,0.686
"2012-08-10 09:15:00",1633,1.14,218.9,12.36,1.457,6.62,23.03,0.686
"2012-08-10 09:20:00",1634,1.233,223.5,10.5,1.757,6.663,39.41,0.686
"2012-08-10 09:25:00",1635,1.122,215.4,9.17,1.408,6.714,49.6,0.686
"2012-08-10 09:30:00",1636,1.248,235.5,18.46,1.65,6.754,44.36,0.686
"2012-08-10 09:35:00",1637,1.126,247.4,5.603,1.3,6.778,50.67,0.686
"2012-08-10 09:40:00",1638,0.944,244.7,16.93,1.532,6.874,62.59,0.686
"2012-08-10 09:45:00",1639,1.166,239.3,24.82,1.666,6.967,71.56,0.686
"2012-08-10 09:50:00",1640,1.098,238.2,18.67,1.45,7.019,60.55,0.686
"2012-08-10 09:55:00",1641,0.606,224.3,20.65,1.111,7.074,59.13,0.686
"2012-08-10 10:00:00",1642,1.16,236.7,14.92,1.646,7.12,56.66,0.686
"2012-08-10 10:05:00",1643,1.365,240.9,9.24,1.921,7.139,60.19,0.686
"2012-08-10 10:10:00",1644,1.457,229.9,16.27,2.097,7.087,62.4,0.686
"2012-08-10 10:15:00",1645,1.132,235.8,32.63,1.539,7.138,72.09,0.686
"2012-08-10 10:20:00",1646,0.974,262.8,12.39,1.552,7.271,86.3,0.686
"2012-08-10 10:25:00",1647,0.966,261.9,15.24,1.369,7.402,84.5,0.686
"2012-08-10 10:30:00",1648,0.909,262.8,15.38,1.392,7.355,72.75,0.686
"2012-08-10 10:35:00",1649,1.286,257.4,21.17,1.797,7.285,81.4,0.686
"2012-08-10 10:40:00",1650,1.576,254.9,15.86,1.813,7.298,103.5,0.686
"2012-08-10 10:45:00",1651,1.317,230.5,17.51,1.869,7.412,124.2,0.686
"2012-08-10 10:50:00",1652,0.779,227.7,21.56,1.591,7.492,150.6,0.686
"2012-08-10 10:55:00",1653,1.494,240.5,10.93,2.159,7.753,152.4,0.686
"2012-08-10 11:00:00",1654,1.88,246.9,13.74,2.427,7.727,143.8,0.686
"2012-08-10 11:05:00",1655,1.793,234.4,9.4,2.352,7.718,132.4,0.686
"2012-08-10 11:10:00",1656,1.883,233.1,15.5,2.489,7.88,123.9,0.686
"2012-08-10 11:15:00",1657,1.758,224.1,12.76,2.244,7.878,136.4,0.686
"2012-08-10 11:20:00",1658,2.235,216.9,8.14,3.012,7.763,134.4,0.686
"2012-08-10 11:25:00",1659,2.083,220.6,12.02,2.839,7.783,128.5,0.686
"2012-08-10 11:30:00",1660,2.246,221.8,11.54,2.715,7.817,117.6,0.686
"2012-08-10 11:35:00",1661,2.337,228.1,10.71,2.917,7.839,107.8,0.686
"2012-08-10 11:40:00",1662,2.632,233.7,13.47,3.211,7.752,104.8,0.686
"2012-08-10 11:45:00",1663,2.399,231.6,9.64,2.871,7.748,104.9,0.686
"2012-08-10 11:50:00",1664,2.483,233,16.59,3.378,7.786,106.5,0.686
"2012-08-10 11:55:00",1665,2.668,241.9,13.42,3.724,7.918,105.4,0.686
"2012-08-10 12:00:00",1666,3.098,237.4,10.16,3.486,7.913,105.6,0.686
"2012-08-10 12:05:00",1667,2.332,236.3,13.59,2.933,7.917,112.5,0.686
"2012-08-10 12:10:00",1668,2.116,231.2,13.77,3.133,8.03,121.3,0.686
"2012-08-10 12:15:00",1669,2.362,241.5,10.34,2.924,8.09,133.7,0.686
"2012-08-10 12:20:00",1670,2.543,235.4,12.58,3.358,8.19,160,0.686
"2012-08-10 12:25:00",1671,2.31,242.5,11.94,3.162,8.34,184.1,0.686
"2012-08-10 12:30:00",1672,2.611,236.2,8.86,3.26,8.5,199.9,0.686
"2012-08-10 12:35:00",1673,2.182,236.4,13.18,3.1,8.63,240,0.686
"2012-08-10 12:40:00",1674,2.543,225.1,12.76,2.937,8.79,305.1,0.686
"2012-08-10 12:45:00",1675,2.481,235.2,12.28,2.976,9,345.9,0.686
"2012-08-10 12:50:00",1676,2.538,237.4,13.25,3.146,9.27,466.5,0.686
"2012-08-10 12:55:00",1677,2.544,241,12.09,3.067,9.65,449.5,0.685
"2012-08-10 13:00:00",1678,2.835,252.3,15.53,3.316,9.67,439,0.685
"2012-08-10 13:05:00",1679,2.706,241.4,9.46,3.345,9.78,454.1,0.685
"2012-08-10 13:10:00",1680,2.534,249.1,22.4,2.982,9.83,390.7,0.685
"2012-08-10 13:15:00",1681,2.5,248.4,16.94,3.257,10.01,471.1,0.685
"2012-08-10 13:20:00",1682,2.848,239.1,9.92,3.636,10.2,437.7,0.685
"2012-08-10 13:25:00",1683,2.504,234.8,12.23,3.27,10.14,369.3,0.685
"2012-08-10 13:30:00",1684,2.806,240.5,16.89,3.577,10.02,374.6,0.685
"2012-08-10 13:35:00",1685,3.008,234.3,9.14,3.518,10.05,345.9,0.685
"2012-08-10 13:40:00",1686,2.895,238.7,20.66,3.878,10.15,353.5,0.685
"2012-08-10 13:45:00",1687,2.49,245.4,13.91,3.557,10.36,335.6,0.685
"2012-08-10 13:50:00",1688,2.673,245.9,10.82,3.227,10.45,310.9,0.685
"2012-08-10 13:55:00",1689,2.814,249.7,10.92,3.169,10.47,302.3,0.685
"2012-08-10 14:00:00",1690,2.36,248.4,15.08,2.901,10.57,292.7,0.685
"2012-08-10 14:05:00",1691,2.299,234.2,14.3,3.097,10.71,315.7,0.685
"2012-08-10 14:10:00",1692,2.268,242.2,10.11,2.551,10.69,312.4,0.685
"2012-08-10 14:15:00",1693,2.144,244.7,15.86,2.835,10.86,357.6,0.685
"2012-08-10 14:20:00",1694,2.048,241.1,13.36,2.385,10.92,366.2,0.685
"2012-08-10 14:25:00",1695,2.145,238.6,16.36,3.218,11.12,335.5,0.685
"2012-08-10 14:30:00",1696,2.415,243.1,10.98,2.914,11.11,331.5,0.685
"2012-08-10 14:35:00",1697,2.171,250.3,15.1,3.067,11.23,329,0.685
"2012-08-10 14:40:00",1698,1.981,242,11.25,2.747,11.26,298.6,0.685
"2012-08-10 14:45:00",1699,2.261,243.8,14.74,2.535,11.25,311.9,0.685
"2012-08-10 14:50:00",1700,2.438,248.5,15.59,2.982,11.31,302.2,0.685
"2012-08-10 14:55:00",1701,2.34,244.5,11.14,2.875,11.37,256,0.685
"2012-08-10 15:00:00",1702,2.087,245,13.4,2.522,11.42,211.9,0.685
"2012-08-10 15:05:00",1703,2.289,240.6,16.26,2.973,11.3,189.4,0.685
"2012-08-10 15:10:00",1704,2.31,250.3,10.85,2.982,11.2,177.9,0.685
"2012-08-10 15:15:00",1705,2.158,244.9,15.99,2.574,11.29,174.8,0.685
"2012-08-10 15:20:00",1706,2.205,242.5,13.51,2.777,11.34,162.4,0.685
"2012-08-10 15:25:00",1707,2.105,235.8,20.85,2.829,11.4,230.2,0.685
"2012-08-10 15:30:00",1708,2.319,235.1,12.14,3.09,11.92,450.3,0.685
"2012-08-10 15:35:00",1709,2.618,242.4,10.51,3.087,12.14,339.2,0.685
"2012-08-10 15:40:00",1710,2.93,247.4,11.2,3.437,12.27,482.6,0.685
"2012-08-10 15:45:00",1711,2.794,244.1,17.27,3.682,12.7,564,0.685
"2012-08-10 15:50:00",1712,2.78,240.9,7.046,3.476,12.92,558,0.685
"2012-08-10 15:55:00",1713,2.689,242.9,11.63,2.927,13.14,545.8,0.685
"2012-08-10 16:00:00",1714,2.459,243.1,17.56,3.479,12.81,334.2,0.685
"2012-08-10 16:05:00",1715,2.567,242.8,15.62,3.015,12.48,184.7,0.685
"2012-08-10 16:10:00",1716,2.505,242.7,8.72,2.731,12.25,170.7,0.685
"2012-08-10 16:15:00",1717,2.463,237.6,14.7,3.221,12.35,165.4,0.685
"2012-08-10 16:20:00",1718,2.559,239.3,12.34,2.754,12.52,223.8,0.685
"2012-08-10 16:25:00",1719,2.163,233.6,13.19,2.855,12.77,284,0.685
"2012-08-10 16:30:00",1720,2.527,238.1,12.63,2.806,13.09,296,0.685
"2012-08-10 16:35:00",1721,2.594,248.3,15.98,3.358,13.14,298.9,0.685
"2012-08-10 16:40:00",1722,2.405,247.6,18.78,2.842,13.27,401.6,0.685
"2012-08-10 16:45:00",1723,2.571,246.2,19.63,3.146,13.63,387.3,0.685
"2012-08-10 16:50:00",1724,2.547,257,9.89,3.237,13.69,358.9,0.685
"2012-08-10 16:55:00",1725,2.69,248.9,16.31,3.325,13.48,321.5,0.685
"2012-08-10 17:00:00",1726,2.604,241.2,7.642,3.041,13.44,331,0.685
"2012-08-10 17:05:00",1727,2.422,248,17.78,2.826,13.57,283.4,0.685
"2012-08-10 17:10:00",1728,2.56,255.2,8.73,3.038,13.54,252.3,0.685
"2012-08-10 17:15:00",1729,2.475,241.7,9.11,2.803,13.58,265.6,0.685
"2012-08-10 17:20:00",1730,2.393,246.4,11.85,3.022,13.67,235.3,0.685
"2012-08-10 17:25:00",1731,2.12,249.7,16.72,2.577,13.62,201.6,0.685
"2012-08-10 17:30:00",1732,2.287,242.6,13.39,2.79,13.59,194.9,0.685
"2012-08-10 17:35:00",1733,2.308,251.3,16.76,2.731,13.58,214.5,0.685
"2012-08-10 17:40:00",1734,1.943,246.5,9.3,2.424,13.81,210.9,0.685
"2012-08-10 17:45:00",1735,2.19,246.6,7.058,2.868,13.93,223.3,0.685
"2012-08-10 17:50:00",1736,1.924,241.7,13.4,2.359,14.01,230.6,0.685
"2012-08-10 17:55:00",1737,2.178,249.4,12.34,2.639,14.11,266.5,0.685
"2012-08-10 18:00:00",1738,2.36,229.1,15.7,2.659,14.43,368.1,0.685
"2012-08-10 18:05:00",1739,2.416,245.5,12.76,2.675,14.49,222.8,0.685
"2012-08-10 18:10:00",1740,2.228,237.3,11.66,2.528,14.24,183.9,0.685
"2012-08-10 18:15:00",1741,2.104,234.9,10.39,2.806,14.19,171,0.685
"2012-08-10 18:20:00",1742,2.208,246.3,9.28,2.718,14.15,152.9,0.685
"2012-08-10 18:25:00",1743,2.094,243.8,11.18,2.375,14.13,141.8,0.685
"2012-08-10 18:30:00",1744,1.936,243,9.66,2.61,14.1,131.8,0.685
"2012-08-10 18:35:00",1745,1.757,244.4,10.96,2.267,14.24,119.6,0.685
"2012-08-10 18:40:00",1746,1.666,243.6,4.433,2.326,14.3,113.4,0.685
"2012-08-10 18:45:00",1747,1.595,238.9,12.43,1.878,14.31,114.6,0.685
"2012-08-10 18:50:00",1748,1.853,235.5,9.29,2.332,14.29,115.3,0.685
"2012-08-10 18:55:00",1749,1.59,244,9.12,1.895,14.19,122.5,0.685
"2012-08-10 19:00:00",1750,1.606,240,12.99,2.225,14.42,198.5,0.685
"2012-08-10 19:05:00",1751,1.667,230.7,14.36,2.251,14.83,163.5,0.685
"2012-08-10 19:10:00",1752,1.512,241.9,14.57,1.97,14.66,129.9,0.685
"2012-08-10 19:15:00",1753,1.993,242.4,7.859,2.352,14.61,111.1,0.685
"2012-08-10 19:20:00",1754,1.808,238.3,10.43,2.163,14.42,80.9,0.685
"2012-08-10 19:25:00",1755,1.245,227.2,10.4,1.457,14.41,56.97,0.685
"2012-08-10 19:30:00",1756,0.881,232.7,13.98,1.042,14.36,40.82,0.685
"2012-08-10 19:35:00",1757,1.156,229.6,11.65,1.555,14.27,41.89,0.685
"2012-08-10 19:40:00",1758,0.922,220.8,9.62,1.215,14.12,35.47,0.685
"2012-08-10 19:45:00",1759,1.331,239.9,12.99,1.771,13.95,28.54,0.685
"2012-08-10 19:50:00",1760,1.34,236.7,8.52,1.545,13.8,26.79,0.685
"2012-08-10 19:55:00",1761,1.24,223.7,11.09,1.601,13.76,25.87,0.685
"2012-08-10 20:00:00",1762,1.209,235.3,12.21,1.718,13.77,38.65,0.685
"2012-08-10 20:05:00",1763,1.422,239.8,7.083,2.022,13.81,49.49,0.685
"2012-08-10 20:10:00",1764,1.071,231.6,13.57,1.519,13.79,49.18,0.685
"2012-08-10 20:15:00",1765,0.772,220.8,12.23,1.065,13.88,37.48,0.685
"2012-08-10 20:20:00",1766,0.699,215.8,9.28,0.836,13.92,24.4,0.685
"2012-08-10 20:25:00",1767,0.954,204.5,13.54,1.372,13.94,25.39,0.685
"2012-08-10 20:30:00",1768,1.123,209.6,15.8,1.411,14.05,19.43,0.685
"2012-08-10 20:35:00",1769,1.12,219.6,10.44,1.47,13.98,7.034,0.685
"2012-08-10 20:40:00",1770,0.483,224.5,13.54,1.421,13.88,2.92,0.685
"2012-08-10 20:45:00",1771,0.403,214.8,22.36,0.99,13.85,-1.498,0.685
"2012-08-10 20:50:00",1772,0.741,216.7,7.683,1.055,13.78,-3.91,0.685
"2012-08-10 20:55:00",1773,0.462,209.9,14.94,0.748,13.61,-3.453,0.685
"2012-08-10 21:00:00",1774,0.557,213.3,8.55,0.872,13.56,2.946,0.685
"2012-08-10 21:05:00",1775,1.098,198.3,15.24,1.509,13.41,1.524,0.685
"2012-08-10 21:10:00",1776,1.304,200.2,21.04,1.96,13.28,-5.332,0.685
"2012-08-10 21:15:00",1777,1.217,201.2,14.1,1.806,13.33,-10.23,0.685
"2012-08-10 21:20:00",1778,0.84,181.6,17.19,1.062,13.41,-8.1,0.685
"2012-08-10 21:25:00",1779,0.52,204.1,7.966,1.029,13.44,-10.49,0.685
"2012-08-10 21:30:00",1780,0.634,197.6,20.37,1.058,13.38,-18.33,0.685
"2012-08-10 21:35:00",1781,0.688,173.3,10.88,1.228,13.35,-22.37,0.685
"2012-08-10 21:40:00",1782,0.588,191.2,8.8,1.176,13.33,-23.85,0.685
"2012-08-10 21:45:00",1783,0.513,175.2,15.98,0.843,13.32,-29.59,0.685
"2012-08-10 21:50:00",1784,0.742,161,21.23,1.506,13.22,-31.62,0.685
"2012-08-10 21:55:00",1785,0.891,168.5,20.88,1.45,13.37,-30.42,0.685
"2012-08-10 22:00:00",1786,0.313,195.7,19.1,0.836,13.33,-30.68,0.685
"2012-08-10 22:05:00",1787,0.357,172.8,27.36,0.742,13.04,-31.57,0.685
"2012-08-10 22:10:00",1788,0.239,182.2,17.73,0.751,13.14,-31.03,0.685
"2012-08-10 22:15:00",1789,0.286,201.3,28.85,0.67,13.09,-31.34,0.685
"2012-08-10 22:20:00",1790,0.443,158.5,18.33,0.866,13.1,-33.98,0.685
"2012-08-10 22:25:00",1791,0.405,163.5,6.818,0.614,13.07,-37.61,0.685
"2012-08-10 22:30:00",1792,0.111,140,18.16,0.317,13.05,-40.61,0.685
"2012-08-10 22:35:00",1793,0.271,106.4,36.45,0.706,12.71,-42.16,0.685
"2012-08-10 22:40:00",1794,0.477,142.3,19.72,0.774,12.12,-39.52,0.685
"2012-08-10 22:45:00",1795,0.475,180.6,14.96,0.624,11.82,-38.53,0.685
"2012-08-10 22:50:00",1796,0.119,189.1,8.11,0.372,11.54,-35.71,0.685
"2012-08-10 22:55:00",1797,0.436,185.7,22.68,0.866,11.29,-33.66,0.685
"2012-08-10 23:00:00",1798,0.73,154.4,7.439,0.826,11.44,-30.96,0.685
"2012-08-10 23:05:00",1799,0.764,165.2,17.85,1.13,11.51,-28.07,0.685
"2012-08-10 23:10:00",1800,0.827,156.5,15.01,1.075,11.51,-26.59,0.685
"2012-08-10 23:15:00",1801,0.175,167.5,47.16,0.843,11.77,-26.37,0.685
"2012-08-10 23:20:00",1802,0.656,182.9,29.14,1.307,12.33,-28.8,0.685
"2012-08-10 23:25:00",1803,0.572,167.1,49.01,1.147,13.02,-26.93,0.685
"2012-08-10 23:30:00",1804,0.559,168.9,32.48,0.908,13.08,-25.27,0.685
"2012-08-10 23:35:00",1805,0.841,171.2,22.84,1.176,12.78,-24.69,0.685
"2012-08-10 23:40:00",1806,0.972,113.3,8.41,1.284,12.39,-23.32,0.685
"2012-08-10 23:45:00",1807,0.59,139.5,14.63,0.771,12.09,-21.97,0.685
"2012-08-10 23:50:00",1808,0.733,126.2,12.96,1.016,11.79,-21.44,0.685
"2012-08-10 23:55:00",1809,0.564,134.1,36.38,0.911,11.46,-20.83,0.685
"2012-08-11 00:00:00",1810,0.588,141.1,14.62,1,11.31,-20.12,0.685
"2012-08-11 00:05:00",1811,0.711,159.8,8.88,0.934,11.57,-20.27,0.685
"2012-08-11 00:10:00",1812,0.586,170.8,20.74,0.872,11.66,-20.32,0.685
"2012-08-11 00:15:00",1813,0.587,139,19.87,0.787,11.44,-20.24,0.685
"2012-08-11 00:20:00",1814,0.298,86.1,10.84,0.689,11.29,-20.47,0.685
"2012-08-11 00:25:00",1815,0.573,123.9,28.71,0.941,11.05,-21.13,0.685
"2012-08-11 00:30:00",1816,0.607,150.7,30.68,1.209,10.78,-20.8,0.685
"2012-08-11 00:35:00",1817,0.522,152.5,25.54,1.107,10.68,-21.62,0.685
"2012-08-11 00:40:00",1818,0.86,158,23.49,1.431,11.03,-22.2,0.685
"2012-08-11 00:45:00",1819,0.899,172.2,24.28,1.411,11.44,-22.18,0.685
"2012-08-11 00:50:00",1820,1.479,173.2,16.41,1.983,11.46,-23.52,0.685
"2012-08-11 00:55:00",1821,1.398,185.2,17.79,2.443,11.37,-23.27,0.685
"2012-08-11 01:00:00",1822,1.323,178,12.64,2.107,11.24,-22.68,0.685
"2012-08-11 01:05:00",1823,1.387,181.1,12.19,1.989,11.26,-23.8,0.685
"2012-08-11 01:10:00",1824,1.884,198.5,14.4,2.528,11.3,-23.47,0.685
"2012-08-11 01:15:00",1825,1.761,180.1,19.67,2.091,11.46,-22.43,0.685
"2012-08-11 01:20:00",1826,1.021,184.2,18.29,1.764,11.67,-22.53,0.685
"2012-08-11 01:25:00",1827,0.688,166.1,34.99,0.924,11.6,-21.44,0.685
"2012-08-11 01:30:00",1828,0.69,161.3,23.14,1.245,11.33,-21.29,0.685
"2012-08-11 01:35:00",1829,1.006,141.7,29.18,1.584,11.02,-21.16,0.685
"2012-08-11 01:40:00",1830,1.127,140.2,22.54,1.689,10.99,-21.82,0.685
"2012-08-11 01:45:00",1831,0.611,177.8,32.61,1.091,11.03,-19.99,0.685
"2012-08-11 01:50:00",1832,1.024,213.1,30.8,1.555,11.38,-21.18,0.685
"2012-08-11 01:55:00",1833,0.501,87.1,88.9,1.153,12.02,-19.79,0.685
"2012-08-11 02:00:00",1834,1.151,80.9,13.86,1.281,11.48,-20.37,0.685
"2012-08-11 02:05:00",1835,0.304,241.4,76.95,0.846,10.81,-21.36,0.685
"2012-08-11 02:10:00",1836,0.891,228.1,11.61,1.281,10.54,-21.74,0.685
"2012-08-11 02:15:00",1837,0.307,182.6,22.7,0.65,10.65,-21.46,0.685
"2012-08-11 02:20:00",1838,0.318,149.2,12.3,0.908,10.77,-21.95,0.685
"2012-08-11 02:25:00",1839,0.775,151.6,41.16,1.019,10.97,-22.53,0.685
"2012-08-11 02:30:00",1840,0.312,215.8,16.16,0.732,10.88,-21.39,0.685
"2012-08-11 02:35:00",1841,0,0,0,0,10.91,-22,0.685
"2012-08-11 02:40:00",1842,0,0,0,0,10.71,-21.98,0.685
"2012-08-11 02:45:00",1843,0.096,194.4,4.277,0.206,10.53,-21.57,0.685
"2012-08-11 02:50:00",1844,0.355,231.3,12.59,0.768,10.69,-21.19,0.685
"2012-08-11 02:55:00",1845,0.151,122.3,23.26,0.47,10.46,-22.28,0.685
"2012-08-11 03:00:00",1846,0.131,186.8,48.24,0.392,10,-21.83,0.685
"2012-08-11 03:05:00",1847,0.408,270.1,14.67,0.719,9.98,-22.26,0.685
"2012-08-11 03:10:00",1848,0.693,253.4,11.24,0.817,10.05,-22.72,0.685
"2012-08-11 03:15:00",1849,0.279,247.7,14.19,0.8,10.06,-22.08,0.685
"2012-08-11 03:20:00",1850,0.544,232.3,14.86,0.938,10.03,-21.45,0.685
"2012-08-11 03:25:00",1851,0.528,200.4,15.4,0.866,9.8,-21.4,0.685
"2012-08-11 03:30:00",1852,0.457,154.2,13.81,0.666,9.68,-21.75,0.685
"2012-08-11 03:35:00",1853,0.539,164.1,20.59,0.859,9.57,-22.39,0.685
"2012-08-11 03:40:00",1854,0.504,182.6,14.41,0.8,9.51,-22.61,0.685
"2012-08-11 03:45:00",1855,0.361,144.9,27.24,0.902,9.41,-22.51,0.685
"2012-08-11 03:50:00",1856,0.14,140.2,20.95,0.657,9.49,-22.18,0.685
"2012-08-11 03:55:00",1857,0.004,208,0.006,0.036,9.53,-21.83,0.685
"2012-08-11 04:00:00",1858,0,0,0,0,9.43,-21.57,0.685
"2012-08-11 04:05:00",1859,0.344,206.9,15.3,1.045,9.33,-22.46,0.685
"2012-08-11 04:10:00",1860,0.995,217.5,5.314,1.379,9.33,-23.15,0.685
"2012-08-11 04:15:00",1861,0.923,206.9,14.8,1.352,9.32,-23.91,0.685
"2012-08-11 04:20:00",1862,1.078,208,19.32,1.267,9.28,-25.08,0.685
"2012-08-11 04:25:00",1863,0.92,218,11.28,1.29,9.2,-23.91,0.685
"2012-08-11 04:30:00",1864,1.276,228.9,15.09,1.673,9.19,-23.63,0.685
"2012-08-11 04:35:00",1865,1.492,225.8,14.65,1.839,9.26,-22.92,0.685
"2012-08-11 04:40:00",1866,1.508,219.4,9.92,1.878,9.28,-21.52,0.685
"2012-08-11 04:45:00",1867,1.63,222.1,9.92,1.934,9.22,-22.54,0.685
"2012-08-11 04:50:00",1868,1.193,204.7,15.57,1.597,9.18,-22.79,0.685
"2012-08-11 04:55:00",1869,0.804,203,9.33,1.163,9.12,-23.38,0.685
"2012-08-11 05:00:00",1870,0.623,167.9,10.95,0.748,9.06,-24.07,0.685
"2012-08-11 05:05:00",1871,0.418,166.3,17.55,0.673,8.95,-25.46,0.685
"2012-08-11 05:10:00",1872,0.493,130.2,21.54,0.875,8.78,-27.68,0.685
"2012-08-11 05:15:00",1873,0.333,131.5,17.6,0.49,8.63,-30.24,0.686
"2012-08-11 05:20:00",1874,0.113,148.4,21.08,0.392,8.44,-32.38,0.686
"2012-08-11 05:25:00",1875,0.24,147.9,7.115,0.457,8.34,-35.22,0.686
"2012-08-11 05:30:00",1876,0.403,171,12.35,0.751,8.32,-37.66,0.686
"2012-08-11 05:35:00",1877,0.618,179.7,19.85,0.823,8.46,-39.06,0.686
"2012-08-11 05:40:00",1878,0.249,165.8,12.27,0.562,8.36,-40.23,0.686
"2012-08-11 05:45:00",1879,0.443,201.9,19.07,0.63,8.18,-40.39,0.686
"2012-08-11 05:50:00",1880,0.497,183,10.52,0.598,8.01,-39.3,0.686
"2012-08-11 05:55:00",1881,0.498,162,17.31,0.82,8.16,-36.98,0.686
"2012-08-11 06:00:00",1882,0.823,127.2,11.42,0.996,7.96,-36.65,0.686
"2012-08-11 06:05:00",1883,0.152,40.34,29.81,0.454,7.821,-34.26,0.686
"2012-08-11 06:10:00",1884,0,0,0,0,7.472,-33.04,0.686
"2012-08-11 06:15:00",1885,0.056,82.5,0.806,0.359,7.294,-31.7,0.686
"2012-08-11 06:20:00",1886,0.147,95.4,5.887,0.294,7.23,-29.56,0.686
"2012-08-11 06:25:00",1887,0.05,160.5,23.29,0.265,7.201,-27.73,0.686
"2012-08-11 06:30:00",1888,0.114,216,1.685,0.307,7.033,-27.58,0.686
"2012-08-11 06:35:00",1889,0.56,67.04,4.977,1.039,6.969,-28.62,0.686
"2012-08-11 06:40:00",1890,0.753,65.42,9.85,1.156,7.01,-27.35,0.686
"2012-08-11 06:45:00",1891,0.397,39.36,11.46,0.679,7.185,-22.57,0.686
"2012-08-11 06:50:00",1892,0.125,75.58,30.78,0.693,7.466,-15.94,0.686
"2012-08-11 06:55:00",1893,0.087,50.79,8.35,0.376,7.869,-13.19,0.686
"2012-08-11 07:00:00",1894,0,0,0,0,7.967,-11.01,0.686
"2012-08-11 07:05:00",1895,0.126,77.19,6.124,0.333,7.913,-7.727,0.686
"2012-08-11 07:10:00",1896,0.525,84.9,7.832,0.895,7.816,-4.652,0.686
"2012-08-11 07:15:00",1897,0.832,86.5,10.54,1.111,7.697,-0.915,0.686
"2012-08-11 07:20:00",1898,0.984,107.3,11.81,1.16,7.737,4.169,0.686
