TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
16-07-29 14:30,339,1.49,925,0,,,
16-07-29 15:00,340,1.495,924,0,,,
16-07-29 15:30,341,1.501,924,0,,,
16-07-29 16:00,342,1.501,924,0,,,
16-07-29 16:30,343,1.497,924,0,,,
16-07-29 17:00,344,1.493,924,0,,,
16-07-29 17:30,345,1.491,924,0,,,
16-07-29 18:00,346,1.492,924,0,,,
16-07-29 18:30,347,1.488,924,0,,,
16-07-29 19:00,348,1.496,924,0,,,
16-07-29 19:30,349,1.485,924,0,,,
16-07-29 20:00,350,1.49,923,0,,,
16-07-29 20:30,351,1.508,923,0,,,
16-07-29 21:00,352,1.484,924,0,,,
16-07-29 21:30,353,1.497,924,0,,,
16-07-29 22:00,354,1.507,924,0,,,
16-07-29 22:30,355,1.524,924,0,,,
16-07-29 23:00,356,1.517,925,0,,,
16-07-29 23:30,357,1.519,925,0,,,
16-07-30 0:00,358,1.526,925,0,,,
16-07-30 0:30,359,1.529,926,0,,,
16-07-30 1:00,360,1.504,926,0,,,
16-07-30 1:30,361,1.529,926,0,,,
16-07-30 2:00,362,1.509,926,0,,,
16-07-30 2:30,363,1.519,926,0,,,
16-07-30 3:00,364,1.531,926,0,,,
16-07-30 3:30,365,1.514,926,0,,,
16-07-30 4:00,366,1.529,926,0,,,
16-07-30 4:30,367,1.514,926,0,,,
16-07-30 5:00,368,1.516,926,0,,,
16-07-30 5:30,369,1.504,927,0,,,
16-07-30 6:00,370,1.517,926,0,,,
16-07-30 6:30,371,1.514,927,0,,,
16-07-30 7:00,372,1.519,926,0,,,
16-07-30 7:30,373,1.513,926,0,,,
16-07-30 8:00,374,1.527,926,0,,,
16-07-30 8:30,375,1.507,926,0,,,
16-07-30 9:00,376,1.518,926,0,,,
16-07-30 9:30,377,1.515,926,0,,,
16-07-30 10:00,378,1.499,926,0,,,
16-07-30 10:30,379,1.523,926,0,,,
16-07-30 11:00,380,1.502,926,0,,,
16-07-30 11:30,381,1.492,926,0,,,
16-07-30 12:00,382,1.496,926,0,,,
16-07-30 12:30,383,1.487,925,0,,,
16-07-30 13:00,384,1.482,925,0,,,
16-07-30 13:30,385,1.498,925,0,,,
16-07-30 14:00,386,1.483,925,0,,,
16-07-30 14:30,387,1.5,925,0,,,
16-07-30 15:00,388,1.487,925,0,,,
16-07-30 15:30,389,1.492,924,0,,,
16-07-30 16:00,390,1.492,924,0,,,
16-07-30 16:30,391,1.494,924,0,,,
16-07-30 17:00,392,1.493,924,0,,,
16-07-30 17:30,393,1.5,924,0,,,
16-07-30 18:00,394,1.512,923,0,,,
16-07-30 18:30,395,1.5,923,0,,,
16-07-30 19:00,396,1.516,923,0,,,
16-07-30 19:30,397,1.511,923,0,,,
16-07-30 20:00,398,1.514,923,0,,,
16-07-30 20:30,399,1.508,923,0,,,
16-07-30 21:00,400,1.519,923,0,,,
16-07-30 21:30,401,1.516,923,0,,,
16-07-30 22:00,402,1.52,923,0,,,
16-07-30 22:30,403,1.526,923,0,,,
16-07-30 23:00,404,1.531,924,0,,,
16-07-30 23:30,405,1.536,924,0,,,
16-07-31 0:00,406,1.533,924,0,,,
16-07-31 0:30,407,1.523,924,0,,,
16-07-31 1:00,408,1.53,924,0,,,
16-07-31 1:30,409,1.518,924,0,,,
16-07-31 2:00,410,1.534,924,0,,,
16-07-31 2:30,411,1.519,924,0,,,
16-07-31 3:00,412,1.534,924,0,,,
16-07-31 3:30,413,1.52,924,0,,,
16-07-31 4:00,414,1.535,924,0,,,
16-07-31 4:30,415,1.534,924,0,,,
16-07-31 5:00,416,1.53,924,0,,,
16-07-31 5:30,417,1.534,924,0,,,
16-07-31 6:00,418,1.528,924,0,,,
16-07-31 6:30,419,1.531,924,0,,,
16-07-31 7:00,420,1.531,924,0,,,
16-07-31 7:30,421,1.53,924,0,,,
16-07-31 8:00,422,1.53,924,0,,,
16-07-31 8:30,423,1.501,924,0,,,
16-07-31 9:00,424,1.483,924,0,,,
16-07-31 9:30,425,1.503,924,0,,,
16-07-31 10:00,426,1.513,924,0,,,
16-07-31 10:30,427,1.505,923,0,,,
16-07-31 11:00,428,1.499,923,0,,,
16-07-31 11:30,429,1.484,923,0,,,
16-07-31 12:00,430,1.501,923,0,,,
16-07-31 12:30,431,1.503,923,0,,,
16-07-31 13:00,432,1.494,923,0,,,
16-07-31 13:30,433,1.501,923,0,,,
16-07-31 14:00,434,1.493,922,0,,,
16-07-31 14:30,435,1.483,922,0,,,
16-07-31 15:00,436,1.483,922,0,,,
16-07-31 15:30,437,1.494,922,0,,,
16-07-31 16:00,438,1.492,922,0,,,
16-07-31 16:30,439,1.495,922,0,,,
16-07-31 17:00,440,1.488,922,0,,,
16-07-31 17:30,441,1.486,922,0,,,
16-07-31 18:00,442,1.491,922,0,,,
