TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_13JULY2015.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
15-07-25 17:30,242,1.547,917,0,,,
15-07-25 18:00,243,1.55,917,0,,,
15-07-25 18:30,244,1.547,917,0,,,
15-07-25 19:00,245,1.543,917,0,,,
15-07-25 19:30,246,1.539,916,0,,,
15-07-25 20:00,247,1.546,916,0,,,
15-07-25 20:30,248,1.542,916,0,,,
15-07-25 21:00,249,1.534,916,0,,,
15-07-25 21:30,250,1.523,916,0,,,
15-07-25 22:00,251,1.52,916,0,,,
15-07-25 22:30,252,1.524,916,0,,,
15-07-25 23:00,253,1.529,916,0,,,
15-07-25 23:30,254,1.533,916,0,,,
15-07-26 0:00,255,1.534,916,0,,,
15-07-26 0:30,256,1.536,916,0,,,
15-07-26 1:00,257,1.529,917,0,,,
15-07-26 1:30,258,1.544,917,0,,,
15-07-26 2:00,259,1.554,917,0,,,
15-07-26 2:30,260,1.56,917,0,,,
15-07-26 3:00,261,1.56,917,0,,,
15-07-26 3:30,262,1.577,917,0,,,
15-07-26 4:00,263,1.583,917,0,,,
15-07-26 4:30,264,1.582,917,0,,,
15-07-26 5:00,265,1.585,917,0,,,
15-07-26 5:30,266,1.558,917,0,,,
15-07-26 6:00,267,1.57,916,0,,,
15-07-26 6:30,268,1.579,916,0,,,
15-07-26 7:00,269,1.568,916,0,,,
15-07-26 7:30,270,1.565,916,0,,,
15-07-26 8:00,271,1.564,916,0,,,
15-07-26 8:30,272,1.558,916,0,,,
15-07-26 9:00,273,1.553,916,0,,,
15-07-26 9:30,274,1.558,916,0,,,
15-07-26 10:00,275,1.554,915,0,,,
15-07-26 10:30,276,1.561,915,0,,,
15-07-26 11:00,277,1.559,915,0,,,
15-07-26 11:30,278,1.553,915,0,,,
15-07-26 12:00,279,1.563,915,0,,,
15-07-26 12:30,280,1.555,915,0,,,
15-07-26 13:00,281,1.561,915,0,,,
15-07-26 13:30,282,1.558,915,0,,,
15-07-26 14:00,283,1.56,915,0,,,
15-07-26 14:30,284,1.559,915,0,,,
15-07-26 15:00,285,1.556,915,0,,,
15-07-26 15:30,286,1.562,915,0,,,
15-07-26 16:00,287,1.549,914,0,,,
15-07-26 16:30,288,1.554,914,0,,,
15-07-26 17:00,289,1.528,914,0,,,
15-07-26 17:30,290,1.536,914,0,,,
15-07-26 18:00,291,1.533,913,0,,,
15-07-26 18:30,292,1.531,913,0,,,
15-07-26 19:00,293,1.525,913,0,,,
15-07-26 19:30,294,1.525,913,0,,,
15-07-26 20:00,295,1.532,913,0,,,
15-07-26 20:30,296,1.571,913,0,,,
15-07-26 21:00,297,1.586,913,0,,,
15-07-26 21:30,298,1.533,914,0,,,
15-07-26 22:00,299,1.543,914,0,,,
15-07-26 22:30,300,1.557,914,0,,,
15-07-26 23:00,301,1.58,914,0,,,
15-07-26 23:30,302,1.544,914,0,,,
15-07-27 0:00,303,1.539,914,0,,,
15-07-27 0:30,304,1.541,914,0,,,
15-07-27 1:00,305,1.547,915,0,,,
15-07-27 1:30,306,1.55,915,0,,,
15-07-27 2:00,307,1.556,915,0,,,
15-07-27 2:30,308,1.544,915,0,,,
15-07-27 3:00,309,1.555,915,0,,,
15-07-27 3:30,310,1.548,915,0,,,
15-07-27 4:00,311,1.547,915,0,,,
15-07-27 4:30,312,1.552,915,0,,,
15-07-27 5:00,313,1.561,915,0,,,
15-07-27 5:30,314,1.557,915,0,,,
15-07-27 6:00,315,1.56,915,0,,,
15-07-27 6:30,316,1.575,915,0,,,
15-07-27 7:00,317,1.562,915,0,,,
15-07-27 7:30,318,1.565,915,0,,,
15-07-27 8:00,319,1.55,915,0,,,
15-07-27 8:30,320,1.547,915,0,,,
15-07-27 9:00,321,1.542,915,0,,,
15-07-27 9:30,322,1.54,915,0,,,
15-07-27 10:00,323,1.543,915,0,,,
15-07-27 10:30,324,1.54,915,0,,,
15-07-27 11:00,325,1.542,914,0,,,
15-07-27 11:30,326,1.537,915,0,,,
15-07-27 12:00,327,1.544,914,0,,,
15-07-27 12:30,328,1.539,914,0,,,
15-07-27 13:00,329,1.535,914,0,,,
15-07-27 13:30,330,1.54,914,0,,,
15-07-27 14:00,331,1.527,913,0,,,
15-07-27 14:30,332,1.531,913,0,,,
15-07-27 15:00,333,1.536,913,0,,,
15-07-27 15:30,334,1.527,913,0,,,
15-07-27 16:00,335,1.542,913,0,,,
15-07-27 16:30,336,1.547,913,0,,,
15-07-27 17:00,337,1.552,913,0,,,
15-07-27 17:30,338,1.572,913,0,,,
15-07-27 18:00,339,1.555,913,0,,,
15-07-27 18:30,340,1.54,913,0,,,
15-07-27 19:00,341,1.543,913,0,,,
15-07-27 19:30,342,1.542,913,0,,,
15-07-27 20:00,343,1.529,913,0,,,
15-07-27 20:30,344,1.554,913,0,,,
15-07-27 21:00,345,1.538,913,0,,,
15-07-27 21:30,346,1.559,914,0,,,
15-07-27 22:00,347,1.547,914,0,,,
15-07-27 22:30,348,1.55,914,0,,,
15-07-27 23:00,349,1.558,915,0,,,
15-07-27 23:30,350,1.551,915,0,,,
15-07-28 0:00,351,1.547,915,0,,,
15-07-28 0:30,352,1.559,915,0,,,
15-07-28 1:00,353,1.553,915,0,,,
15-07-28 1:30,354,1.556,915,0,,,
15-07-28 2:00,355,1.556,916,0,,,
15-07-28 2:30,356,1.563,916,0,,,
15-07-28 3:00,357,1.559,916,0,,,
15-07-28 3:30,358,1.558,916,0,,,
15-07-28 4:00,359,1.558,916,0,,,
15-07-28 4:30,360,1.559,917,0,,,
15-07-28 5:00,361,1.558,917,0,,,
15-07-28 5:30,362,1.56,917,0,,,
15-07-28 6:00,363,1.562,917,0,,,
15-07-28 6:30,364,1.563,917,0,,,
15-07-28 7:00,365,1.563,917,0,,,
15-07-28 7:30,366,1.562,917,0,,,
15-07-28 8:00,367,1.557,917,0,,,
15-07-28 8:30,368,1.555,917,0,,,
15-07-28 9:00,369,1.55,917,0,,,
15-07-28 9:30,370,1.554,917,0,,,
15-07-28 10:00,371,1.552,917,0,,,
15-07-28 10:30,372,1.543,917,0,,,
15-07-28 11:00,373,1.541,917,0,,,
15-07-28 11:30,374,1.538,917,0,,,
15-07-28 12:00,375,1.538,917,0,,,
15-07-28 12:30,376,1.55,917,0,,,
15-07-28 13:00,377,1.546,917,0,,,
15-07-28 13:30,378,1.545,917,0,,,
15-07-28 14:00,379,1.546,917,0,,,
15-07-28 14:30,380,1.555,917,0,,,
15-07-28 15:00,381,1.55,916,0,,,
15-07-28 15:30,382,1.544,917,0,,,
15-07-28 16:00,383,1.544,917,0,,,
15-07-28 16:30,384,1.543,917,0,,,
15-07-28 17:00,385,1.533,917,0,,,
15-07-28 17:30,386,1.523,917,0,,,
15-07-28 18:00,387,1.527,917,0,,,
15-07-28 18:30,388,1.533,917,0,,,
15-07-28 19:00,389,1.536,917,0,,,
15-07-28 19:30,390,1.541,917,0,,,
15-07-28 20:00,391,1.55,917,0,,,
15-07-28 20:30,392,1.544,918,0,,,
15-07-28 21:00,393,1.545,918,0,,,
15-07-28 21:30,394,1.544,918,0,,,
15-07-28 22:00,395,1.545,918,0,,,
15-07-28 22:30,396,1.543,919,0,,,
15-07-28 23:00,397,1.544,919,0,,,
15-07-28 23:30,398,1.559,919,0,,,
15-07-29 0:00,399,1.555,920,0,,,
15-07-29 0:30,400,1.55,920,0,,,
15-07-29 1:00,401,1.561,920,0,,,
15-07-29 1:30,402,1.558,921,0,,,
15-07-29 2:00,403,1.562,921,0,,,
15-07-29 2:30,404,1.565,921,0,,,
15-07-29 3:00,405,1.567,921,0,,,
15-07-29 3:30,406,1.567,921,0,,,
15-07-29 4:00,407,1.571,921,0,,,
15-07-29 4:30,408,1.571,922,0,,,
15-07-29 5:00,409,1.574,922,0,,,
15-07-29 5:30,410,1.579,922,0,,,
15-07-29 6:00,411,1.583,922,0,,,
15-07-29 6:30,412,1.579,922,0,,,
15-07-29 7:00,413,1.579,922,0,,,
15-07-29 7:30,414,1.58,922,0,,,
15-07-29 8:00,415,1.573,922,0,,,
15-07-29 8:30,416,1.571,922,0,,,
15-07-29 9:00,417,1.564,923,0,,,
15-07-29 9:30,418,1.561,923,0,,,
15-07-29 10:00,419,1.56,923,0,,,
15-07-29 10:30,420,1.554,923,0,,,
15-07-29 11:00,421,1.555,923,0,,,
15-07-29 11:30,422,1.541,923,0,,,
15-07-29 12:00,423,1.548,923,0,,,
15-07-29 12:30,424,1.542,922,0,,,
15-07-29 13:00,425,1.543,922,0,,,
15-07-29 13:30,426,1.541,923,0,,,
15-07-29 14:00,427,1.578,923,0,,,
15-07-29 14:30,428,1.544,923,0,,,
15-07-29 15:00,429,1.547,922,0,,,
15-07-29 15:30,430,1.549,923,0,,,
15-07-29 16:00,431,1.55,923,0,,,
15-07-29 16:30,432,1.559,923,0,,,
15-07-29 17:00,433,1.547,923,0,,,
15-07-29 17:30,434,1.54,922,0,,,
15-07-29 18:00,435,1.567,922,0,,,
15-07-29 18:30,436,1.543,923,0,,,
15-07-29 19:00,437,1.539,923,0,,,
15-07-29 19:30,438,1.574,923,0,,,
15-07-29 20:00,439,1.545,923,0,,,
15-07-29 20:30,440,1.546,923,0,,,
15-07-29 21:00,441,1.543,923,0,,,
15-07-29 21:30,442,1.543,923,0,,,
15-07-29 22:00,443,1.542,924,0,,,
15-07-29 22:30,444,1.539,924,0,,,
15-07-29 23:00,445,1.552,924,0,,,
15-07-29 23:30,446,1.557,924,0,,,
15-07-30 0:00,447,1.548,925,0,,,
15-07-30 0:30,448,1.574,925,0.9,,,
15-07-30 1:00,449,1.56,925,1.3,,,
15-07-30 1:30,450,1.56,925,1,,,
15-07-30 2:00,451,1.542,925,0.6,,,
15-07-30 2:30,452,1.575,925,0.3,,,
15-07-30 3:00,453,1.55,925,0.4,,,
15-07-30 3:30,454,1.558,926,0.7,,,
15-07-30 4:00,455,1.559,926,1,,,
15-07-30 4:30,456,1.535,926,1.1,,,
15-07-30 5:00,457,1.548,926,2.1,,,
15-07-30 5:30,458,1.548,926,1.9,,,
15-07-30 6:00,459,1.559,926,1.1,,,
15-07-30 6:30,460,1.554,926,0.6,,,
15-07-30 7:00,461,1.597,926,0.6,,,
15-07-30 7:30,462,1.586,926,0,,,
15-07-30 8:00,463,1.582,927,0,,,
15-07-30 8:30,464,1.566,927,0,,,
15-07-30 9:00,465,1.594,927,0,,,
15-07-30 9:30,466,1.604,927,0,,,
15-07-30 10:00,467,1.587,927,0,,,
15-07-30 10:30,468,1.602,927,0,,,
15-07-30 11:00,469,1.573,927,0,,,
15-07-30 11:30,470,1.563,927,0,,,
15-07-30 12:00,471,1.569,927,0,,,
15-07-30 12:30,472,1.569,927,0,,,
15-07-30 13:00,473,1.592,927,0,,,
15-07-30 13:30,474,1.537,927,0,,,
15-07-30 14:00,475,1.52,927,0.1,,,
15-07-30 14:30,476,1.572,927,0.3,,,
15-07-30 15:00,477,1.574,927,0.7,,,
15-07-30 15:30,478,1.571,927,0.6,,,
15-07-30 16:00,479,1.586,927,0.4,,,
15-07-30 16:30,480,1.565,927,0.3,,,
15-07-30 17:00,481,1.537,927,0.2,,,
15-07-30 17:30,482,1.54,927,0.2,,,
15-07-30 18:00,483,1.534,927,0.2,,,
15-07-30 18:30,484,1.542,927,0.2,,,
15-07-30 19:00,485,1.538,926,0.4,,,
15-07-30 19:30,486,1.545,926,0.2,,,
15-07-30 20:00,487,1.545,926,0.1,,,
15-07-30 20:30,488,1.542,926,0.4,,,
15-07-30 21:00,489,1.542,926,0.1,,,
15-07-30 21:30,490,1.55,925,0.1,,,
15-07-30 22:00,491,1.556,925,0,,,
15-07-30 22:30,492,1.577,926,0,,,
15-07-30 23:00,493,1.585,926,0,,,
15-07-30 23:30,494,1.589,926,0.1,,,
15-07-31 0:00,495,1.587,926,0,,,
15-07-31 0:30,496,1.554,926,0.2,,,
15-07-31 1:00,497,1.537,926,0.3,,,
15-07-31 1:30,498,1.554,926,0.1,,,
15-07-31 2:00,499,1.558,926,0.1,,,
15-07-31 2:30,500,1.559,926,0.1,,,
15-07-31 3:00,501,1.552,926,0,,,
15-07-31 3:30,502,1.561,926,0,,,
15-07-31 4:00,503,1.559,926,0.1,,,
15-07-31 4:30,504,1.568,926,0,,,
15-07-31 5:00,505,1.57,926,0,,,
15-07-31 5:30,506,1.574,926,0,,,
15-07-31 6:00,507,1.521,926,0,,,
15-07-31 6:30,508,1.548,926,0,,,
15-07-31 7:00,509,1.549,926,0,,,
15-07-31 7:30,510,1.574,926,0,,,
15-07-31 8:00,511,1.558,926,0,,,
15-07-31 8:30,512,1.573,926,0,,,
15-07-31 9:00,513,1.569,926,0,,,
15-07-31 9:30,514,1.549,926,0,,,
15-07-31 10:00,515,1.553,926,0,,,
15-07-31 10:30,516,1.55,926,0,,,
15-07-31 11:00,517,1.571,926,0,,,
15-07-31 11:30,518,1.557,926,0,,,
15-07-31 12:00,519,1.545,926,0,,,
15-07-31 12:30,520,1.542,926,0,,,
15-07-31 13:00,521,1.54,926,0,,,
15-07-31 13:30,522,1.553,926,0,,,
15-07-31 14:00,523,1.538,926,0,,,
15-07-31 14:30,524,1.539,925,0,,,
15-07-31 15:00,525,1.555,925,0,,,
15-07-31 15:30,526,1.583,925,0,,,
15-07-31 16:00,527,1.554,925,0,,,
15-07-31 16:30,528,1.552,925,0,,,
15-07-31 17:00,529,1.553,925,0,,,
15-07-31 17:30,530,1.543,925,0,,,
15-07-31 18:00,531,1.586,925,0,,,
15-07-31 18:30,532,1.555,925,0,,,
15-07-31 19:00,533,1.559,925,0,,,
15-07-31 19:30,534,1.571,925,0,,,
15-07-31 20:00,535,1.551,925,0,,,
15-07-31 20:30,536,1.546,925,0,,,
15-07-31 21:00,537,1.549,925,0,,,
15-07-31 21:30,538,1.549,925,0,,,
15-07-31 22:00,539,1.554,925,0,,,
15-07-31 22:30,540,1.549,926,0,,,
15-07-31 23:00,541,1.554,926,0,,,
15-07-31 23:30,542,1.562,926,0,,,
15-08-01 0:00,543,1.559,926,0,,,
15-08-01 0:30,544,1.554,926,0,,,
15-08-01 1:00,545,1.567,926,0,,,
15-08-01 1:30,546,1.559,926,0,,,
15-08-01 2:00,547,1.579,926,0,,,
15-08-01 2:30,548,1.59,926,0,,,
15-08-01 3:00,549,1.582,926,0,,,
15-08-01 3:30,550,1.593,926,0,,,
15-08-01 4:00,551,1.592,927,0,,,
15-08-01 4:30,552,1.598,927,0,,,
15-08-01 5:00,553,1.594,927,0,,,
15-08-01 5:30,554,1.593,927,0,,,
15-08-01 6:00,555,1.594,927,0,,,
15-08-01 6:30,556,1.588,927,0,,,
15-08-01 7:00,557,1.593,927,0,,,
15-08-01 7:30,558,1.584,927,0,,,
15-08-01 8:00,559,1.577,927,0,,,
15-08-01 8:30,560,1.568,927,0,,,
15-08-01 9:00,561,1.577,927,0,,,
15-08-01 9:30,562,1.569,928,0,,,
15-08-01 10:00,563,1.561,928,0,,,
15-08-01 10:30,564,1.564,928,0,,,
15-08-01 11:00,565,1.549,928,0,,,
15-08-01 11:30,566,1.55,928,0,,,
15-08-01 12:00,567,1.544,927,0,,,
15-08-01 12:30,568,1.546,927,0,,,
15-08-01 13:00,569,1.545,927,0,,,
15-08-01 13:30,570,1.546,927,0,,,
15-08-01 14:00,571,1.555,927,0,,,
15-08-01 14:30,572,1.542,926,0,,,
15-08-01 15:00,573,1.538,926,0,,,
15-08-01 15:30,574,1.579,926,0,,,
15-08-01 16:00,575,1.55,926,0,,,
15-08-01 16:30,576,1.535,926,0,,,
15-08-01 17:00,577,1.534,926,0,,,
15-08-01 17:30,578,1.546,925,0,,,
15-08-01 18:00,579,1.531,925,0,,,
15-08-01 18:30,580,1.534,925,0,,,
15-08-01 19:00,581,1.538,925,0,,,
15-08-01 19:30,582,1.536,925,0,,,
15-08-01 20:00,583,1.563,925,0,,,
15-08-01 20:30,584,1.541,925,0,,,
15-08-01 21:00,585,1.55,925,0,,,
15-08-01 21:30,586,1.551,925,0,,,
