dtime,dtime,abs_pressure,temp_water,baro_pressure,water_level,end_elv,surf,melt_ice,bed_elv,ice_thick,wl_elv_flat,surf_flat,float_elv,lake_elv,float,sensr_elv_float,wl_elv_float,surf_float,wl_elv_gps1,surf_gps1,wl_elv_int,surf_int
2017-07-10 09:10:00,2017-07-10 09:10:00,226.701,0.01,,14.622,1606.88,1615.72,0.6640944730028383,1395.68,223.174905526997,1621.5020000000002,1618.8549055269973,1598.7691640295673,1598.947716413043,True,1607.058552383476,1621.680552383476,1619.033457910473,1622.7897184400542,1620.1426239670513,1621.680552383476,1619.033457910473
2017-07-10 09:20:00,2017-07-10 09:20:00,226.733,0.01,,14.622,1606.88,1615.72,0.6642513235673833,1395.68,223.1747486764325,1621.5020000000002,1618.8547486764326,1598.7690212955536,1598.9444910280654,True,1607.055469732512,1621.677469732512,1619.0302184089444,1622.7897094996047,1620.142458176037,1621.677469732512,1619.0302184089444
2017-07-10 09:30:00,2017-07-10 09:30:00,226.701,0.01,83.4,14.615,1606.88,1615.72,0.6644244000523983,1395.68,223.1745755999475,1621.4950000000001,1618.8545755999476,1598.7688637959523,1598.9414338744207,True,1607.0525700784685,1621.6675700784685,1619.027145678416,1622.7826585505304,1620.1422341504779,1621.6675700784685,1619.027145678416
2017-07-10 09:40:00,2017-07-10 09:40:00,226.701,0.01,,14.607999999999999,1606.88,1615.72,0.6646055894976485,1395.68,223.17439441050237,1621.488,1618.8543944105024,1598.7686989135573,1598.9357655837575,True,1607.0470666702004,1621.6550666702003,1619.0214610807027,1622.7756649394194,1620.1420593499217,1621.6550666702003,1619.0214610807027
2017-07-10 09:50:00,2017-07-10 09:50:00,226.701,0.01,,14.600999999999999,1606.88,1615.72,0.6647939904631075,1395.68,223.17420600953687,1621.4810000000002,1618.854206009537,1598.7685274686787,1598.929788225607,True,1607.0412607569285,1621.6422607569284,1619.0154667664654,1622.768680332938,1620.1418863424747,1621.6422607569286,1619.0154667664654
2017-07-10 10:00:00,2017-07-10 10:00:00,226.701,0.01,83.6,14.595,1606.88,1615.72,0.6649986173490369,1395.68,223.17400138265089,1621.4750000000001,1618.854001382651,1598.7683412582123,1598.924925066931,True,1607.036583808719,1621.631583808719,1619.0105851913697,1622.7626537125677,1620.1416550952185,1621.631583808719,1619.0105851913697
2017-07-10 10:10:00,2017-07-10 10:10:00,226.701,0.01,,14.588,1606.88,1615.72,0.6652158643953319,1395.68,223.1737841356046,1621.468,1618.8537841356047,1598.7681435634004,1598.9199602096385,True,1607.0318166462384,1621.6198166462384,1619.005600781843,1622.7556051246047,1620.1413892602093,1621.6198166462384,1619.005600781843
2017-07-10 10:20:00,2017-07-10 10:20:00,226.701,0.01,,14.581,1606.88,1615.72,0.6654204912812612,1395.68,223.1735795087186,1621.461,1618.8535795087187,1598.767957352934,1598.915550648119,True,1607.0275932951852,1621.608593295185,1619.0011728039037,1622.748550657012,1620.1411301657306,1621.608593295185,1619.0011728039037
2017-07-10 10:30:00,2017-07-10 10:30:00,226.701,0.01,83.8,14.574000000000002,1606.88,1615.72,0.6656395412076085,1395.68,223.17336045879233,1621.4540000000002,1618.8533604587924,1598.7677580175011,1598.911813198311,True,1607.02405518081,1621.59805518081,1618.9974156396022,1622.741591721827,1620.1409521806193,1621.59805518081,1618.9974156396022
2017-07-10 10:40:00,2017-07-10 10:40:00,226.733,0.01,,14.577,1606.88,1615.72,0.6658612954540339,1395.68,223.17313870454586,1621.457,1618.853138704546,1598.7675562211368,1598.915904712833,True,1607.0283484916963,1621.6053484916963,1619.0014871962421,1622.744631536642,1620.1407702411877,1621.6053484916963,1619.0014871962421
